"","jvm","gcc","gc","benchmark","category","rtINT","rtHS","ratio"
"383","j09","GCC8","CGC","scala-stm-bench7","scala",187.8293537808,15.518517728,12.1035627933653
"384","j09","GCC8","CGC","scrabble","functional",120.2322359171,11.775980171,10.2099557040006
"385","j09","GCC8","CPGC","akka-uct","concurrency",1158.83732408965,84.774961962,13.6695705579802
"386","j09","GCC8","CPGC","chi-square","apache",1046.82982372125,53.583836713,19.5362984052107
"387","j09","GCC8","CPGC","db-shootout","database",2248.03623306365,214.98833466,10.4565498245236
"388","j09","GCC8","CPGC","dec-tree","apache",462.1354166374,75.665006769,6.10765050280465
"389","j09","GCC8","CPGC","dotty","scala",388.4954737756,68.306272073,5.68755199171767
"390","j09","GCC8","CPGC","finagle-chirper","web",289.03003185915,51.507899573,5.61137290115121
"391","j09","GCC8","CPGC","finagle-http","web",179.95025631635,45.019158809,3.99719277474317
"392","j09","GCC8","CPGC","fj-kmeans","concurrency",488.3926414794,37.880430114,12.8930067586244
"393","j09","GCC8","CPGC","future-genetic","functional",140.59605633255,12.918985645,10.8829021252891
"394","j09","GCC8","CPGC","gauss-mix","apache",892.7942202504,45.74758699,19.5156570869094
"395","j09","GCC8","CPGC","log-regression","apache",454.90572181545,80.109129417,5.67857527757522
"396","j09","GCC8","CPGC","mnemonics","functional",975.2733720362,25.875057813,37.6916403079961
"397","j09","GCC8","CPGC","movie-lens","apache",930.2711296018,128.045253202,7.26517466550857
"398","j09","GCC8","CPGC","naive-bayes","apache",2654.6357977782,204.41547484,12.9864717916099
"399","j09","GCC8","CPGC","neo4j-analytics","database",3742.3664808262,185.242030923,20.2025774721818
"400","j09","GCC8","CPGC","page-rank","apache",1537.94104026275,149.222703757,10.3063475030394
"401","j09","GCC8","CPGC","par-mnemonics","functional",800.4002850135,23.30001476,34.3519218016796
"402","j09","GCC8","CPGC","philosophers","scala",497.03803742205,15.699758038,31.6589616361608
"403","j09","GCC8","CPGC","reactors","concurrency",1752.2155378025,86.839049799,20.1777373411872
"404","j09","GCC8","CPGC","rx-scrabble","functional",91.84310348535,10.339032433,8.88314299046072
"405","j09","GCC8","CPGC","scala-doku","scala",621.94719613925,42.461455799,14.6473356703398
"406","j09","GCC8","CPGC","scala-kmeans","scala",167.7940610398,11.713545444,14.3247884973843
"407","j09","GCC8","CPGC","scala-stm-bench7","scala",188.2033860467,15.633324761,12.0386027236001
"408","j09","GCC8","CPGC","scrabble","functional",119.7739820797,11.586018225,10.3378037004339
"409","j09","GCC8","G1GC","akka-uct",NA,NA,95.82581376,NA
"410","j09","GCC8","G1GC","chi-square",NA,NA,61.906919533,NA
"411","j09","GCC8","G1GC","db-shootout",NA,NA,233.59956023,NA
"412","j09","GCC8","G1GC","dec-tree",NA,NA,70.385337647,NA
"413","j09","GCC8","G1GC","dotty",NA,NA,73.687416479,NA
"414","j09","GCC8","G1GC","finagle-chirper",NA,NA,61.017926733,NA
"415","j09","GCC8","G1GC","finagle-http",NA,NA,46.332793704,NA
"416","j09","GCC8","G1GC","fj-kmeans",NA,NA,35.438674369,NA
"417","j09","GCC8","G1GC","future-genetic",NA,NA,15.14894246,NA
"418","j09","GCC8","G1GC","gauss-mix",NA,NA,62.546606646,NA
"419","j09","GCC8","G1GC","log-regression",NA,NA,69.985091876,NA
"420","j09","GCC8","G1GC","mnemonics",NA,NA,26.245151654,NA
"421","j09","GCC8","G1GC","movie-lens",NA,NA,119.827269376,NA
"422","j09","GCC8","G1GC","naive-bayes",NA,NA,155.975225158,NA
"423","j09","GCC8","G1GC","neo4j-analytics",NA,NA,185.05138586,NA
"424","j09","GCC8","G1GC","page-rank",NA,NA,151.945002887,NA
"425","j09","GCC8","G1GC","par-mnemonics",NA,NA,23.048405729,NA
"426","j09","GCC8","G1GC","philosophers",NA,NA,13.741387863,NA
"427","j09","GCC8","G1GC","reactors",NA,NA,89.572160766,NA
"428","j09","GCC8","G1GC","rx-scrabble",NA,NA,11.122526346,NA
"429","j09","GCC8","G1GC","scala-doku",NA,NA,39.615279858,NA
"430","j09","GCC8","G1GC","scala-kmeans",NA,NA,8.179010467,NA
"431","j09","GCC8","G1GC","scala-stm-bench7",NA,NA,15.666093601,NA
"432","j09","GCC8","G1GC","scrabble",NA,NA,12.200718094,NA
"433","j09","GCC8","PGC","akka-uct","concurrency",1135.1725414862,61.479218777,18.4643293143289
"434","j09","GCC8","PGC","chi-square","apache",1039.6308436696,53.247309739,19.5245703260036
"435","j09","GCC8","PGC","db-shootout","database",2225.8731985348,174.397022422,12.7632523057
"436","j09","GCC8","PGC","dec-tree","apache",457.5787485596,72.547861982,6.30726717588357
"437","j09","GCC8","PGC","dotty","scala",387.755955095,68.890952532,5.62854686781819
"438","j09","GCC8","PGC","finagle-chirper","web",287.4851268478,47.449913825,6.05870703807964
"439","j09","GCC8","PGC","finagle-http","web",178.0306485502,45.797870273,3.88731282675294
"440","j09","GCC8","PGC","fj-kmeans","concurrency",478.3962435243,30.664958568,15.6007464501688
"441","j09","GCC8","PGC","future-genetic","functional",139.80493019625,13.188906893,10.6001908520904
"442","j09","GCC8","PGC","gauss-mix","apache",885.9753650962,60.501234348,14.6439221388462
"443","j09","GCC8","PGC","log-regression","apache",451.57360195285,68.6334758,6.57949487024013
"444","j09","GCC8","PGC","mnemonics","functional",965.4144272601,24.389327849,39.5834782014988
"445","j09","GCC8","PGC","movie-lens","apache",931.61612729305,105.047422796,8.86852911282012
"446","j09","GCC8","PGC","naive-bayes","apache",2642.265321666,225.679084124,11.7080647146467
"447","j09","GCC8","PGC","neo4j-analytics","database",3818.0294004635,262.819548182,14.5271895750294
"448","j09","GCC8","PGC","page-rank","apache",1602.79079166235,189.111356116,8.4753809849431
"449","j09","GCC8","PGC","par-mnemonics","functional",795.61403185165,20.691542129,38.4511713477637
"450","j09","GCC8","PGC","philosophers","scala",499.25834314295,13.21532491,37.7787414644011
"451","j09","GCC8","PGC","reactors","concurrency",1744.6472072406,81.302506222,21.4587137385011
"452","j09","GCC8","PGC","rx-scrabble","functional",91.8999130724,10.668176065,8.61439786074622
"453","j09","GCC8","PGC","scala-doku","scala",622.8864799341,33.758115181,18.4514590519757
"454","j09","GCC8","PGC","scala-kmeans","scala",166.0523591925,7.410905093,22.4064884260015
"455","j09","GCC8","PGC","scala-stm-bench7","scala",187.47346679725,15.58171046,12.0316358899439
"456","j09","GCC8","PGC","scrabble","functional",116.55359971965,11.893509363,9.79976524693723
"457","j09","GCC8","SGC","akka-uct","concurrency",1162.0194620355,87.073012909,13.3453457416241
"458","j09","GCC8","SGC","chi-square","apache",1042.6209615455,56.288725966,18.5227315710658
"459","j09","GCC8","SGC","db-shootout","database",2218.38412941465,186.426252255,11.8995265022024
"460","j09","GCC8","SGC","dec-tree","apache",457.78969659495,63.149962768,7.2492472921445
"461","j09","GCC8","SGC","dotty","scala",388.4557668302,69.449219732,5.59337841849376
"462","j09","GCC8","SGC","finagle-chirper","web",288.4831679991,65.359442766,4.41379479063076
"463","j09","GCC8","SGC","finagle-http","web",179.2391173653,45.549549119,3.93503603947935
"464","j09","GCC8","SGC","fj-kmeans","concurrency",476.1884210232,28.289900131,16.8324532366021
"465","j09","GCC8","SGC","future-genetic","functional",139.92788786155,13.402185579,10.4406767863895
"466","j09","GCC8","SGC","gauss-mix","apache",892.15382226955,46.122234917,19.3432478689517
"467","j09","GCC8","SGC","log-regression","apache",450.67967451025,60.917498695,7.39819730233344
